product_name,product_id,category,price,purchase_or_wishlist
"Astra Make",P000085,Automotive,462.62,wishlist
"Willow Charge",P000389,Automotive,460.66,wishlist
"Pulse Near",P000192,Electronics,455.43,purchase
"Solace Never",P001000,Electronics,443.67,wishlist
"Orion Student",P000502,Sports,442.12,wishlist
"Willow Such",P000137,Automotive,441.37,wishlist
"GreenLeaf It",P000881,"Home & Kitchen",441.04,"Marginal Difference"
"Everest Find",P000424,"Home & Kitchen",439.51,wishlist
"Everest Choose",P000035,Electronics,438.46,purchase
"GreenLeaf Meet",P001008,"Home & Kitchen",438.35,wishlist
"GreenLeaf Hair",P000054,Automotive,435.87,wishlist
"Acme Store",P000387,Automotive,435.72,wishlist
"Willow Prove",P000799,Automotive,434.67,purchase
"Zenith Page",P001990,"Home & Kitchen",431.12,purchase
"Orion Thus",P000400,Electronics,423.67,purchase
"NeoTech Toward",P001277,Sports,422.63,wishlist
"Pulse Decide",P000859,Electronics,422.22,wishlist
"GreenLeaf Into",P001895,Electronics,418.78,"Marginal Difference"
"Zenith Word",P001438,"Home & Kitchen",417.75,wishlist
"Pulse Baby",P001732,Electronics,417.15,wishlist
"Pulse Design",P001973,Electronics,416.78,wishlist
"Solace Cell",P001168,"Home & Kitchen",416.24,"Marginal Difference"
"Nimbus Safe",P001936,Automotive,413.42,purchase
"Acme When",P001873,Automotive,413.11,wishlist
"GreenLeaf Tell",P001752,"Home & Kitchen",412.8,wishlist
"Astra Into",P000725,Electronics,412.67,wishlist
"Willow Wall",P001789,Automotive,409.61,wishlist
"Willow Leader",P000815,"Home & Kitchen",408.71,wishlist
"NeoTech Administration",P001598,Automotive,407.98,wishlist
"NeoTech Story",P001759,Sports,407.54,wishlist
"Acme Majority",P001005,"Home & Kitchen",405.41,wishlist
"Zenith Result",P001790,Sports,403.08,purchase
"Acme Computer",P000937,Electronics,401.3,wishlist
"Harbor Gas",P000880,Sports,401.23,purchase
"Orion Upon",P000180,"Home & Kitchen",400.2,wishlist
"Willow Answer",P000491,Electronics,398.86,"Marginal Difference"
"Solace Billion",P000976,Automotive,398.82,wishlist
"Orion Player",P001205,"Home & Kitchen",393.93,wishlist
"Astra Attorney",P001848,Automotive,392.65,"Marginal Difference"
"Zenith Study",P001788,Electronics,391.83,wishlist
"Everest Difference",P000373,Automotive,390.56,wishlist
"Everest Food",P000121,"Home & Kitchen",390.29,purchase
"Nimbus Development",P000578,"Home & Kitchen",390.19,purchase
"Nimbus Subject",P000392,"Home & Kitchen",387.23,"Marginal Difference"
"Solace Including",P001335,"Home & Kitchen",386.33,wishlist
"Orion Focus",P001795,"Home & Kitchen",386.25,wishlist
"Solace Through",P000718,Automotive,384.4,wishlist
"Acme Subject",P001870,Automotive,383.26,wishlist
"Solace The",P000374,Sports,377.51,wishlist
"Astra Key",P001854,Sports,376.31,wishlist
"Pulse Season",P000875,Automotive,376.18,wishlist
"Solace Miss",P001304,Automotive,375.91,wishlist
"Nimbus Before",P001968,"Home & Kitchen",375.68,wishlist
"NeoTech Fear",P000234,Electronics,375.37,"Marginal Difference"
"Zenith Choice",P001307,"Home & Kitchen",373.9,"Marginal Difference"
"GreenLeaf Less",P001417,Automotive,373.48,purchase
"Pulse Outside",P001634,Electronics,372.7,wishlist
"Astra Mean",P001421,Electronics,371.46,purchase
"Pulse Yeah",P000672,Automotive,370.64,purchase
"Astra Fly",P000061,Automotive,369.87,wishlist
"NeoTech Interesting",P000690,"Home & Kitchen",368.82,wishlist
"Harbor By",P000666,Electronics,367.54,wishlist
"Acme Room",P000855,Sports,366.84,wishlist
"Harbor Wrong",P001801,Sports,365.24,purchase
"Astra College",P001083,"Home & Kitchen",364.29,purchase
"Harbor Story",P001638,"Home & Kitchen",363.25,purchase
"Zenith Begin",P001141,Electronics,363.12,"Marginal Difference"
"Harbor Goal",P001649,Sports,361.55,purchase
"Zenith Example",P000603,Sports,360.29,"Marginal Difference"
"Acme Whether",P000790,Automotive,359.12,"Marginal Difference"
"Solace Player",P000029,Automotive,357.87,wishlist
"Willow Message",P001542,Electronics,355.14,wishlist
"GreenLeaf Note",P000307,"Home & Kitchen",354.49,wishlist
"Pulse Weight",P001449,Automotive,354.29,wishlist
"Everest Than",P000442,"Home & Kitchen",353.65,purchase
"Orion After",P001853,Electronics,351.45,purchase
"Acme Night",P000040,"Home & Kitchen",350.41,purchase
"Astra My",P000701,"Home & Kitchen",349.01,wishlist
"Nimbus Camera",P001432,Automotive,344.62,wishlist
"Willow Determine",P000078,Automotive,344.26,wishlist
"Acme Manage",P000601,Sports,343.78,wishlist
"Willow At",P001403,Sports,343.39,wishlist
"Everest Investment",P001721,"Home & Kitchen",343.28,purchase
"Everest Great",P001467,Sports,342.98,purchase
"Everest High",P000565,"Home & Kitchen",340.5,wishlist
"Pulse Fine",P000087,"Home & Kitchen",339.43,"Marginal Difference"
"Willow Responsibility",P001128,Electronics,338.49,wishlist
"Pulse Or",P000575,Automotive,338,wishlist
"Zenith Foreign",P000540,Automotive,337.8,wishlist
"Willow Add",P001260,Automotive,337.06,purchase
"Harbor Able",P000139,"Home & Kitchen",335.61,purchase
"Harbor Since",P000141,Automotive,332.57,wishlist
"Everest Several",P001838,"Home & Kitchen",331.98,wishlist
"NeoTech Everybody",P000131,Automotive,329.14,wishlist
"Everest Family",P000767,Automotive,327.68,purchase
"GreenLeaf Just",P001343,"Home & Kitchen",326.01,"Marginal Difference"
"Nimbus Where",P000149,Automotive,323.14,"Marginal Difference"
"Nimbus Investment",P001100,Sports,322.77,wishlist
"Astra Receive",P000592,Electronics,320.65,wishlist
"Harbor Than",P000667,"Home & Kitchen",319.47,wishlist
"Nimbus Return",P001685,Electronics,319.15,wishlist
"Everest Exactly",P001412,"Home & Kitchen",318.64,wishlist
"Everest Beautiful",P000582,"Home & Kitchen",318.63,wishlist
"Everest Clear",P001580,"Home & Kitchen",318.51,purchase
"Orion Even",P000694,"Home & Kitchen",318.23,"Marginal Difference"
"Harbor Thousand",P001507,Sports,317.38,wishlist
"Willow Imagine",P001978,"Home & Kitchen",317.34,"Marginal Difference"
"Willow Several",P001393,Automotive,314.95,purchase
"Orion Class",P001646,Sports,314.64,wishlist
"Zenith Accept",P000158,Sports,314.58,wishlist
"Astra Road",P000028,Automotive,313.89,purchase
"Astra Woman",P001696,Clothing,313.72,purchase
"Nimbus You",P000581,Sports,307.54,purchase
"Zenith Structure",P001060,"Home & Kitchen",307.27,wishlist
"GreenLeaf Star",P001755,Automotive,305.42,purchase
"Harbor Two",P001129,"Home & Kitchen",305.16,"Marginal Difference"
"Harbor Movie",P001116,"Home & Kitchen",305,"Marginal Difference"
"NeoTech Trouble",P001714,Sports,303.15,wishlist
"Nimbus Great",P001677,"Home & Kitchen",300.67,wishlist
"Pulse Physical",P000613,Automotive,300.24,purchase
"Nimbus Table",P001956,Sports,300.07,purchase
"Nimbus Foot",P001868,Sports,299.8,wishlist
"Zenith Soon",P000152,Sports,299.66,wishlist
"Harbor Enter",P000481,"Home & Kitchen",299.45,wishlist
"Nimbus If",P000168,Sports,298.04,purchase
"Willow Condition",P001689,Sports,297.5,wishlist
"Solace Travel",P000276,Automotive,297.47,wishlist
"Pulse Eight",P001061,Automotive,297.23,wishlist
"Acme Off",P000965,Electronics,295.84,"Marginal Difference"
"Everest Scientist",P000305,"Home & Kitchen",295.31,wishlist
"Solace Difference",P000165,Electronics,295.27,"Marginal Difference"
"Pulse Serious",P000216,Sports,295.05,"Marginal Difference"
"Willow Full",P001680,Automotive,294.93,"Marginal Difference"
"Everest Stock",P001167,Sports,294.72,wishlist
"Willow Position",P001390,Automotive,293.83,wishlist
"NeoTech Investment",P000644,Automotive,293.47,wishlist
"GreenLeaf Charge",P000720,"Home & Kitchen",293.24,wishlist
"Willow Society",P000546,"Home & Kitchen",292.19,wishlist
"Astra Discuss",P000401,Automotive,291.84,wishlist
"Zenith Partner",P000299,Automotive,291.45,wishlist
"GreenLeaf Feel",P001916,"Home & Kitchen",286.99,wishlist
"NeoTech Song",P001934,Automotive,286.31,purchase
"Orion Theory",P001367,Sports,283.47,purchase
"Orion Near",P001196,"Home & Kitchen",283.47,wishlist
"GreenLeaf Significant",P000474,Sports,283.17,wishlist
"Astra Animal",P001974,Automotive,282.64,"Marginal Difference"
"GreenLeaf Idea",P000619,Electronics,279.09,wishlist
"Everest Response",P001896,Automotive,278.74,wishlist
"Orion Mouth",P001975,Sports,278.14,wishlist
"Everest May",P000962,Clothing,274.66,wishlist
"Acme Factor",P000716,Electronics,273.91,purchase
"Willow Production",P000931,Automotive,273.71,"Marginal Difference"
"NeoTech Truth",P001251,"Home & Kitchen",270.85,wishlist
"Solace Policy",P001025,Sports,270.77,wishlist
"Harbor Fill",P000743,Electronics,270.47,purchase
"Everest Dog",P001395,"Home & Kitchen",269.98,wishlist
"Zenith Natural",P001719,"Home & Kitchen",268.64,wishlist
"Orion Itself",P000032,Clothing,265.99,wishlist
"Acme Discuss",P000003,Sports,265.37,wishlist
"Pulse Order",P000119,Clothing,265.21,wishlist
"Solace Level",P000488,"Home & Kitchen",264.67,purchase
"Everest Deep",P000860,Electronics,264.08,"Marginal Difference"
"Willow Past",P001139,"Home & Kitchen",264.04,"Marginal Difference"
"Acme Figure",P001030,"Home & Kitchen",263.8,wishlist
"Acme Soldier",P001495,Clothing,262.79,purchase
"Solace Section",P001336,"Home & Kitchen",260.9,wishlist
"Zenith Enter",P001064,Automotive,260.64,purchase
"Zenith Management",P001712,"Home & Kitchen",260.48,"Marginal Difference"
"Everest Take",P001602,Clothing,260.17,wishlist
"Everest Figure",P000034,Automotive,260.02,wishlist
"Acme Idea",P001096,Sports,259.72,purchase
"Acme Cold",P000160,Electronics,259.69,wishlist
"Solace Professional",P001690,Sports,257.99,wishlist
"NeoTech Imagine",P001912,Beauty,257.28,"Marginal Difference"
"Harbor Several",P000368,Sports,257.21,"Marginal Difference"
"Everest Fire",P000422,Clothing,257.15,wishlist
"Willow May",P000127,"Home & Kitchen",255.94,wishlist
"Harbor Laugh",P001767,Beauty,254.74,wishlist
"GreenLeaf Authority",P000749,Electronics,254.08,wishlist
"Nimbus Little",P000210,Toys,253.94,purchase
"Everest Tv",P000228,Automotive,253.79,wishlist
"Nimbus Threat",P000516,Sports,253.68,wishlist
"Everest Single",P001639,Clothing,253.6,"Marginal Difference"
"Willow Officer",P000268,Automotive,253.41,wishlist
"Harbor Go",P000009,"Home & Kitchen",253.18,wishlist
"GreenLeaf Discover",P000388,Clothing,252.09,wishlist
"Nimbus Cost",P001069,Electronics,250.79,"Marginal Difference"
"Solace Leave",P001977,"Home & Kitchen",250.41,"Marginal Difference"
"Orion Page",P001079,"Home & Kitchen",249.07,purchase
"Orion Now",P000544,Clothing,248.05,purchase
"Harbor Today",P000823,Clothing,247.47,"Marginal Difference"
"Nimbus Military",P001149,Automotive,247.43,wishlist
"Acme Air",P000212,Electronics,246.31,wishlist
"Solace Everyone",P000123,Clothing,244.44,wishlist
"Pulse Possible",P000984,"Home & Kitchen",244.36,purchase
"Astra Move",P000723,Electronics,244.36,wishlist
"Nimbus Bank",P001136,Electronics,244.29,wishlist
"Nimbus Gun",P000426,"Home & Kitchen",244.16,wishlist
"Solace Life",P001548,Automotive,243.71,wishlist
"Pulse Guy",P001431,Sports,243.43,wishlist
"NeoTech Fill",P000366,"Home & Kitchen",242.13,"Marginal Difference"
"Solace Everyone",P001582,Clothing,242.11,wishlist
"Harbor Financial",P000350,Sports,241.98,wishlist
"Harbor Despite",P001815,"Home & Kitchen",241.73,wishlist
"NeoTech Who",P000842,"Home & Kitchen",239.55,wishlist
"Solace Risk",P000227,"Home & Kitchen",238.61,wishlist
"Acme Rich",P001427,Sports,238.36,wishlist
"Acme Book",P001555,Automotive,238.08,wishlist
"Solace Discuss",P001178,Sports,237.68,wishlist
"Acme Clear",P000936,"Home & Kitchen",236.97,purchase
"NeoTech Guess",P000758,Automotive,236.7,wishlist
"Everest Parent",P000650,Sports,235.46,"Marginal Difference"
"Orion Ahead",P000010,Sports,235.11,wishlist
"Harbor Last",P000218,Electronics,234.99,"Marginal Difference"
"GreenLeaf Present",P001517,Clothing,233.7,wishlist
"NeoTech Week",P001603,Sports,233.45,purchase
"GreenLeaf Carry",P000809,Clothing,232.34,wishlist
"Zenith Investment",P001730,Beauty,232.25,purchase
"Solace Subject",P000915,"Home & Kitchen",231.62,wishlist
"Solace Different",P000454,"Home & Kitchen",231.49,wishlist
"NeoTech Not",P000186,Electronics,231.15,wishlist
"NeoTech Reveal",P001262,Automotive,229.68,purchase
"Solace Camera",P000451,Electronics,228.61,wishlist
"Harbor Resource",P001727,"Home & Kitchen",228.38,wishlist
"Zenith Might",P000792,Sports,228.3,wishlist
"GreenLeaf Painting",P000207,Clothing,227.28,wishlist
"Solace So",P000955,Sports,226.85,wishlist
"Willow Recent",P000846,Automotive,226.36,wishlist
"Harbor Much",P000764,Sports,226.24,wishlist
"Orion News",P000412,"Home & Kitchen",225.99,wishlist
"Acme Live",P000019,Automotive,225.87,wishlist
"Everest Skin",P001581,Automotive,225.32,wishlist
"Pulse Degree",P001042,"Home & Kitchen",225,purchase
"GreenLeaf Interview",P000144,Automotive,224.43,wishlist
"Orion Structure",P000673,Sports,224.01,purchase
"Nimbus Level",P000995,Automotive,223.92,wishlist
"Astra Here",P001414,Beauty,223.69,"Marginal Difference"
"Nimbus Much",P001645,Sports,223.28,wishlist
"Astra Son",P001097,Sports,223.08,wishlist
"Astra Get",P000245,"Home & Kitchen",221.48,"Marginal Difference"
"Nimbus Himself",P000566,"Home & Kitchen",221.26,wishlist
"Zenith Film",P000257,Sports,220.65,wishlist
"Solace Let",P001087,Clothing,220.52,wishlist
"Everest Beautiful",P001784,Sports,219.72,wishlist
"Willow Him",P000145,"Home & Kitchen",219.69,wishlist
"Nimbus Line",P001407,"Home & Kitchen",218.95,wishlist
"Astra Lose",P000417,Beauty,218.42,wishlist
"Willow Because",P000246,Automotive,216.58,wishlist
"Solace Owner",P001091,"Home & Kitchen",215.69,purchase
"Nimbus Somebody",P000882,Sports,215.65,wishlist
"Zenith Catch",P001885,"Home & Kitchen",215.62,wishlist
"GreenLeaf Wrong",P001679,Sports,215.6,"Marginal Difference"
"Willow Bit",P001823,Sports,215.56,purchase
"Everest Become",P001904,Clothing,215.5,purchase
"Pulse Direction",P001595,"Home & Kitchen",214.62,"Marginal Difference"
"Harbor Movement",P001369,Automotive,213.25,"Marginal Difference"
"Pulse Computer",P001878,"Home & Kitchen",212.46,purchase
"NeoTech Town",P001468,Automotive,212.1,wishlist
"Willow A",P000629,Sports,210.39,wishlist
"Orion Late",P001017,Sports,210.15,wishlist
